Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Point Differential,Playoff Team
Miami Heat*,53,29,0.646,0.0,110.0,105.6,4.23,4.400000000000006,True
Boston Celtics*,51,31,0.622,2.0,111.8,104.5,7.02,7.299999999999997,True
Milwaukee Bucks*,51,31,0.622,2.0,115.5,112.1,3.22,3.4000000000000057,True
Philadelphia 76ers*,51,31,0.622,2.0,109.9,107.3,2.57,2.6000000000000085,True
Toronto Raptors*,48,34,0.585,5.0,109.4,107.1,2.38,2.3000000000000114,True
Chicago Bulls*,46,36,0.561,7.0,111.6,112.0,-0.38,-0.4000000000000057,True
Brooklyn Nets*,44,38,0.537,9.0,112.9,112.1,0.82,0.8000000000000114,True
Cleveland Cavaliers,44,38,0.537,9.0,107.8,105.7,2.04,2.0999999999999943,False
Atlanta Hawks*,43,39,0.524,10.0,113.9,112.4,1.55,1.5,True
Charlotte Hornets,43,39,0.524,10.0,115.3,114.9,0.53,0.3999999999999915,False
New York Knicks,37,45,0.451,16.0,106.5,106.6,-0.01,-0.09999999999999432,False
Washington Wizards,35,47,0.427,18.0,108.6,112.0,-3.23,-3.4000000000000057,False
Indiana Pacers,25,57,0.305,28.0,111.5,114.9,-3.26,-3.4000000000000057,False
Detroit Pistons,23,59,0.28,30.0,104.8,112.5,-7.36,-7.700000000000003,False
Orlando Magic,22,60,0.268,31.0,104.2,112.2,-7.67,-8.0,False
